"","entidad","anio","acceso_electrd","acceso_combust_limpios","cap_instald_energ_renov","finan_paises_desarr","energ_renov","electrd_fosiles","electrd_nuclear","electrd_de_energ_renov","electrd_de_f_bajas_carb","consumo_energ_prim","nivel_intens_energ_prim","emisiones_CO2","renovables","crecimiento_PIB","PIB_per_cap","densidad_pobl_Km2","superficie","latitud","longitud"
"2437","Trinidad and Tobago",2000,91.29,100,4.22,NA,0.76,5.11,0,0.03,0.5836576,89203.08,19.47,10200,0.054040425,6.901359591,6435.134212,273,5128,10.691803,-61.222503
"2438","Trinidad and Tobago",2001,96.93202,100,4.46,NA,0.71,5.27,0,0.03,0.5660377,95790.32,20.76,11620,0.07365426,4.168523982,6939.828471,273,5128,10.691803,-61.222503
"2439","Trinidad and Tobago",2002,97.123146,100,4.6,NA,0.69,5.27,0,0.03,0.5660377,103376.06,20.78,12680.00031,0.06166655,7.936709687,7053.087371,273,5128,10.691803,-61.222503
"2440","Trinidad and Tobago",2003,97.30902,100,4.85,NA,0.6,6.02,0,0.03,0.49586776,115246.71,20.45,15449.99981,0.02733469,14.44098954,8807.866068,273,5128,10.691803,-61.222503
"2441","Trinidad and Tobago",2004,97.49202,100,5.16,NA,0.6,6.01,0,0.03,0.49668875,126030.695,19.36,16100.00038,0.046458136,7.950051511,10293.86925,273,5128,10.691803,-61.222503
"2442","Trinidad and Tobago",2005,97.67448,100,5.22,NA,0.54,6.6,0,0.04,0.60240966,134353.78,21.26,17590.00015,0.041819725,6.20893788,12327.28071,273,5128,10.691803,-61.222503
"2443","Trinidad and Tobago",2006,100,100,5.36,NA,0.55,6.71,0,0.04,0.5925926,156027.7,20.95,20059.99947,0.04218804,13.20805861,14102.59329,273,5128,10.691803,-61.222503
"2444","Trinidad and Tobago",2007,100,100,5.43,NA,0.45,7.19,0,0.03,0.41551247,159970.84,21.29,20500,0.031051729,4.754209701,16539.89075,273,5128,10.691803,-61.222503
"2445","Trinidad and Tobago",2008,100,100,1.73,NA,0.46,7.26,0,0,0,156718.94,19.97,20020.00046,0.03328308,3.391737078,21204.00818,273,5128,10.691803,-61.222503
"2446","Trinidad and Tobago",2009,99,100,1.91,NA,0.49,7.37,0,0,0,154489.58,20.97,19040.00092,0.032574173,-4.391729247,14514.24061,273,5128,10.691803,-61.222503
"2447","Trinidad and Tobago",2010,100,100,2.13,NA,0.38,7.97,0,0,0,165831.28,21.6,21459.99908,0.004750972,3.32322471,16683.39306,273,5128,10.691803,-61.222503
"2448","Trinidad and Tobago",2011,100,100,2.12,NA,0.38,8.24,0,0,0,161740.31,21.57,22260.00023,0.004813597,-0.294354409,19034.12071,273,5128,10.691803,-61.222503
"2449","Trinidad and Tobago",2012,100,100,2.11,NA,0.37,8.58,0,0,0,158071.06,20.9,21520.00046,0.004852809,1.269964365,19157.45977,273,5128,10.691803,-61.222503
"2450","Trinidad and Tobago",2013,100,100,2.09,NA,0.36,8.94,0,0,0,159847.2,20.32,22209.99908,0.004740282,2.229074805,20143.54541,273,5128,10.691803,-61.222503
"2451","Trinidad and Tobago",2014,100,100,2.31,NA,0.35,8.85,0,0,0,157936.94,20.98,22040.00092,0.005310354,-0.912544969,20270.93377,273,5128,10.691803,-61.222503
"2452","Trinidad and Tobago",2015,100,100,2.61,NA,0.37,9,0,0.01,0.11098779,152244.28,19.93,21329.99992,0.006235237,1.483781034,18214.46062,273,5128,10.691803,-61.222503
"2453","Trinidad and Tobago",2016,100,100,2.6,NA,0.43,8.85,0,0.01,0.11286682,134233.72,18.48,18309.99947,0.006985533,-5.601818139,16250.62869,273,5128,10.691803,-61.222503
"2454","Trinidad and Tobago",2017,100,100,2.59,NA,0.42,8.76,0,0.01,0.11402508,141542.45,19.21,18250,0.006543419,-2.987340197,16173.74005,273,5128,10.691803,-61.222503
"2455","Trinidad and Tobago",2018,100,100,2.17,NA,0.45,8.67,0,0.01,0.11520737,131650.61,19.34,17780.00069,0.006240048,0.066049775,17037.86236,273,5128,10.691803,-61.222503
"2456","Trinidad and Tobago",2019,100,100,2.16,NA,0.43,8.63,0,0.01,0.11574074,123712.94,19.9,17190.00053,0.006373613,-1.246427336,16637.16294,273,5128,10.691803,-61.222503
"2457","Trinidad and Tobago",2020,100,100,2.15,NA,NA,8.2,0,0.01,0.12180268,108794.93,NA,NA,0.007312009,-7.853939948,15425.63511,273,5128,10.691803,-61.222503
"1219","Jamaica",2000,84.394135,75.7,20.81,5180000,9.37,5.76,0,0.46,7.3954988,16542.139,5.89,10060,NA,0.878703548,3392.123878,273,10991,18.109581,-77.297508
"1220","Jamaica",2001,87.708115,77.6,20.5,9070000,7.95,5.85,0,0.41,6.5495205,16699.781,5.93,10080,NA,1.344929564,3437.655517,273,10991,18.109581,-77.297508
"1221","Jamaica",2002,86.68129,79.2,19.95,NA,8.07,6.07,0,0.46,7.04441,16544.623,5.56,10250,NA,1.997290944,3609.203331,273,10991,18.109581,-77.297508
"1222","Jamaica",2003,86.60857,80.6,19.83,NA,8.18,6.23,0,0.5,7.4294205,17159.158,5.6,10590.00015,NA,3.666317593,3480.511665,273,10991,18.109581,-77.297508
"1223","Jamaica",2004,87.33781,81.9,27.39,NA,6.4,6.25,0,0.54,7.9528723,16704.465,5.56,10569.99969,NA,1.3237251,3733.798671,273,10991,18.109581,-77.297508
"1224","Jamaica",2005,88.066505,83.4,27.24,NA,5.43,6.4,0,0.59,8.440629,17141.955,5.39,10560.00042,NA,0.893797936,4103.601637,273,10991,18.109581,-77.297508
"1225","Jamaica",2006,88.79708,84.1,27.24,NA,4.82,6.43,0,0.6,8.534851,19489.295,5.95,12060.00042,NA,2.89912535,4331.292053,273,10991,18.109581,-77.297508
"1226","Jamaica",2007,89.53218,84.85,27.18,NA,5.35,5.09,0,0.52,9.269162,19765.36,5.92,12020.00046,NA,1.431954037,4623.747897,273,10991,18.109581,-77.297508
"1227","Jamaica",2008,92,85.4,27.11,410000,5.99,3.57,0,0.43,10.75,16746.21,4.77,9619.999886,NA,-0.811736703,4928.126409,273,10991,18.109581,-77.297508
"1228","Jamaica",2009,91.02678,85.8,27.3,110000,7.51,3.64,0,0.42,10.344828,13112.701,4.02,7880.000114,NA,-4.345301858,4335.178411,273,10991,18.109581,-77.297508
"1229","Jamaica",2010,92.2,85.9,33.74,170000,8.98,3.55,0,0.41,10.353536,11996.119,3.8,7480.000019,NA,-1.457147209,4704.04776,273,10991,18.109581,-77.297508
"1230","Jamaica",2011,91.1,86.2,33.73,8860000,9.84,3.56,0,0.45,11.221945,12652.353,3.96,7530.00021,NA,1.730376267,5111.465987,273,10991,18.109581,-77.297508
"1231","Jamaica",2012,93.1,86.1,33.65,120000,12.16,3.46,0,0.47,11.959288,11797.367,3.85,6960.000038,NA,-0.61363604,5209.859264,273,10991,18.109581,-77.297508
"1232","Jamaica",2013,93.9,86,36.08,NA,11.39,3.5,0,0.43,10.941476,12772.726,4.02,7400.000095,NA,0.517686013,4989.734089,273,10991,18.109581,-77.297508
"1233","Jamaica",2014,93.3,85.85,36.56,57810000,11.88,3.45,0,0.46,11.764706,12533.961,3.89,7190.000057,NA,0.689822357,4834.284009,273,10991,18.109581,-77.297508
"1234","Jamaica",2015,94.9,85.4,37.19,87990000,12.12,3.45,0,0.46,11.764706,12881.866,3.87,7090.000153,NA,0.921487125,4907.927415,273,10991,18.109581,-77.297508
"1235","Jamaica",2016,96.73798,85,64.9,17580000,11.07,3.63,0,0.5,12.106537,13296.951,4.27,7570.000172,NA,1.375223064,4843.7499,273,10991,18.109581,-77.297508
"1236","Jamaica",2017,97.60958,84.5,74.17,9e+05,10.98,3.5,0,0.6,14.634148,11942.507,3.86,7219.99979,NA,0.997123062,5070.099503,273,10991,18.109581,-77.297508
"1237","Jamaica",2018,98.48712,83.9,73.81,70520000,8.88,3.48,0,0.69,16.546762,12335.036,4.28,8609.999657,NA,1.889923681,5359.993789,273,10991,18.109581,-77.297508
"1238","Jamaica",2019,99.36762,83.4,86.03,180000,9.09,3.6,0,0.65,15.294118,15387.241,4.45,8390.000343,NA,0.892291654,5369.498371,273,10991,18.109581,-77.297508
"1239","Jamaica",2020,100,82.7,85.65,NA,NA,3.43,0,0.64,15.724815,12098.731,NA,NA,NA,-10,4664.530242,273,10991,18.109581,-77.297508
"547","Cuba",2000,97,71.4,5.2,790000,34.43,14.1,0,0.09,0.6342495,9883.993,3.46,28350,NA,5.914760174,2747.100303,106,110860,21.521757,-77.781167
"548","Cuba",2001,96.22626,74.5,5.18,4590000,34.05,14.37,0,0.07,0.48476455,9075.244,3.28,27470,NA,3.185029904,2837.73573,106,110860,21.521757,-77.781167
"549","Cuba",2002,95.5,77.2,5.16,1710000,34.8,14.71,0,0.1,0.6752194,9158.403,3.01,26420.00008,NA,1.424821261,2999.241763,106,110860,21.521757,-77.781167
"550","Cuba",2003,96.51303,79.8,5.15,360000,33.56,14.79,0,0.13,0.8713137,9271.938,2.89,25629.99916,NA,3.792740223,3197.133185,106,110860,21.521757,-77.781167
"551","Cuba",2004,96.65091,81.8,5.24,910000,33.77,14.66,0,0.09,0.6101695,9365.984,2.67,25360.00061,NA,5.77053807,3395.710843,106,110860,21.521757,-77.781167
"552","Cuba",2005,96.78825,83.8,64.6,410000,26.31,11.88,0,2.57,17.785467,9199.146,2.27,26319.99969,NA,11.20165642,3786.66345,106,110860,21.521757,-77.781167
"553","Cuba",2006,96.927475,85.4,43.99,390000,21.96,13.96,0,1.54,9.935484,8954.739,2.02,26780.00069,NA,12.06586311,4683.569067,106,110860,21.521757,-77.781167
"554","Cuba",2007,97.07121,87,52.35,10000,18.59,14.67,0,1.93,11.626506,9036.614,1.79,27680.00031,NA,7.262136966,5208.718388,106,110860,21.521757,-77.781167
"555","Cuba",2008,97.22218,88.1,54.58,50000,18.73,14.7,0,1.97,11.8176365,10330.99,1.83,26750,NA,4.116828042,5411.269492,106,110860,21.521757,-77.781167
"556","Cuba",2009,97.383095,89.1,54.48,910000,18.97,14.82,0,1.89,11.310593,10402.473,1.75,26979.99954,NA,1.451305431,5529.669375,106,110860,21.521757,-77.781167
"557","Cuba",2010,97.55665,90.2,55.07,4160000,15.61,14.66,0,1.73,10.555217,11812.895,1.85,28110.00061,NA,2.390352297,5730.354264,106,110860,21.521757,-77.781167
"558","Cuba",2011,97.74557,91,55.23,1310000,19.2,14.99,0,1.74,10.400478,10603.101,1.74,27590.00015,NA,2.802300836,6139.718783,106,110860,21.521757,-77.781167
"559","Cuba",2012,97.95255,91.5,52.75,420000,19.38,15.55,0,1.82,10.477835,11529.463,1.73,28690.00053,NA,3.014900289,6497.314764,106,110860,21.521757,-77.781167
"560","Cuba",2013,98.17937,92,49.2,3100000,18.24,16.4,0,1.77,9.741332,11073.984,1.6,28870.00084,NA,2.747602563,6837.71168,106,110860,21.521757,-77.781167
"561","Cuba",2014,98.42399,92.7,52.67,40000,23.16,16.52,0,1.8,9.825328,11257.336,1.61,26690.00053,NA,1.047576632,7133.337679,106,110860,21.521757,-77.781167
"562","Cuba",2015,98.68346,92.65,55.52,77320000,21.15,17.37,0,1.85,9.625391,11280.011,1.57,29209.99908,NA,4.438141959,7694.014637,106,110860,21.521757,-77.781167
"563","Cuba",2016,98.95479,93.2,53.82,31010000,19.2,17.64,0,1.74,8.978329,8800.3,1.54,27170.00008,NA,0.513761468,8060.796598,106,110860,21.521757,-77.781167
"564","Cuba",2017,99.23503,93.4,59.57,110970000,22,17.57,0,1.82,9.386282,9358.279,1.45,26239.99977,NA,1.809054399,8541.213686,106,110860,21.521757,-77.781167
"565","Cuba",2018,99.52121,93.5,66.87,7200000,24.11,17.64,0,2,10.1833,9819.157,1.37,26709.99908,NA,2.248480393,8824.194008,106,110860,21.521757,-77.781167
"566","Cuba",2019,99.8,93.6,95.74,5670000,21.54,16.54,0,2.99,15.309779,9606.213,1.27,25909.99985,NA,-0.164839982,9125.878679,106,110860,21.521757,-77.781167
"567","Cuba",2020,100,93.8,105.79,NA,NA,15.47,0,3.13,16.827957,9007.181,NA,NA,NA,-10.94834097,9477.852873,106,110860,21.521757,-77.781167
"1933","Papua New Guinea",2000,7.577014,5.6,36.37,NA,66.38,1.14,0,0.97,45.971565,2747.3433,5.88,2830,NA,-2.494841993,602.1864903,20,462840,-6.314993,143.95555
"1934","Papua New Guinea",2001,9.882184,5.7,35.65,NA,63.44,1.59,0,1,38.61004,3037.2134,6.32,3390,NA,-0.121288606,515.6847804,20,462840,-6.314993,143.95555
"1935","Papua New Guinea",2002,12.1797695,5.9,34.92,NA,62.49,1.76,0,1,36.231884,3073.6719,6.57,3609.999895,NA,-0.158900533,491.8343081,20,462840,-6.314993,143.95555
"1936","Papua New Guinea",2003,14.47212,6.1,35.22,NA,60.4,2.03,0,1.07,34.516132,3376.0618,6.78,4079.999924,NA,2.164102502,568.2463486,20,462840,-6.314993,143.95555
"1937","Papua New Guinea",2004,16.761583,6.1,34.5,10000,57.48,2.14,0,1.04,32.704403,3651.7664,6.98,4949.999809,NA,2.721175741,618.0367032,20,462840,-6.314993,143.95555
"1938","Papua New Guinea",2005,19.050512,6.5,38.37,NA,58.56,2.05,0,1.28,38.43844,3417.0745,6.76,4929.999828,NA,6.344795923,749.1865116,20,462840,-6.314993,143.95555
"1939","Papua New Guinea",2006,12.4,6.7,37.5,NA,58.86,2,0,1.25,38.46154,3393.2031,6.51,4780.00021,NA,5.409944091,1256.979648,20,462840,-6.314993,143.95555
"1940","Papua New Guinea",2007,23.636633,6.9,40.72,30000,57.13,2,0,1.34,40.119762,3544.4324,7.55,5050.000191,NA,7.815189229,1401.949447,20,462840,-6.314993,143.95555
"1941","Papua New Guinea",2008,25.939186,7.1,40.89,30000,56.93,1.94,0,1.34,40.85366,3056.953,6.73,4760.000229,NA,-0.296457846,1672.951024,20,462840,-6.314993,143.95555
"1942","Papua New Guinea",2009,17.2,7.4,41.04,NA,56.02,2.03,0,1.32,39.402985,3259.054,6.49,5030.00021,NA,6.800421483,1626.312855,20,462840,-6.314993,143.95555
"1943","Papua New Guinea",2010,19.5,7.7,41.21,NA,55.25,2.07,0,1.32,38.938053,2867.5837,5.66,5019.999981,NA,10.12845407,1949.351185,20,462840,-6.314993,143.95555
"1944","Papua New Guinea",2011,32.91732,7.8,40.31,37760000,54.73,2.11,0,1.42,40.226627,2917.4312,5.91,5159.999847,NA,1.107543626,2406.910967,20,462840,-6.314993,143.95555
"1945","Papua New Guinea",2012,35.275887,8.2,40.96,NA,55.45,2.18,0,1.43,39.61219,2741.8088,5.49,4889.999866,NA,4.657119597,2790.676303,20,462840,-6.314993,143.95555
"1946","Papua New Guinea",2013,37.654285,8.2,40.37,6420000,58.27,2.35,0,1.47,38.481674,2730.9343,5.93,5239.999771,NA,3.824946328,2729.888751,20,462840,-6.314993,143.95555
"1947","Papua New Guinea",2014,40.05049,8.5,39.57,0,56.82,2.53,0,1.49,37.06468,2816.4016,5.59,5889.999866,NA,13.54377062,2920.782986,20,462840,-6.314993,143.95555
"1948","Papua New Guinea",2015,42.87822,8.7,41.07,8420000,55.15,2.67,0,1.48,35.66265,3170.5203,5.38,6510.000229,NA,6.578356323,2679.346579,20,462840,-6.314993,143.95555
"1949","Papua New Guinea",2016,49.4,8.85,40.3,32340000,54.56,2.79,0,1.48,34.660423,3283.4167,5.18,7659.999847,NA,5.489573153,2509.629637,20,462840,-6.314993,143.95555
"1950","Papua New Guinea",2017,54.4,8.8,39.5,830000,54.45,2.99,0,1.27,29.812204,3098.1384,4.93,7610.000134,NA,3.534610818,2695.249009,20,462840,-6.314993,143.95555
"1951","Papua New Guinea",2018,55.727386,9,38.74,130000,52.96,3.13,0,1.27,28.863636,3150.1516,5.31,7559.999943,NA,-0.279252285,2801.371393,20,462840,-6.314993,143.95555
"1952","Papua New Guinea",2019,59.662975,9.1,37.99,120000,53.09,3.16,0,1.28,28.828829,3159.5166,5.28,7579.999924,NA,4.480430608,2820.306397,20,462840,-6.314993,143.95555
"1953","Papua New Guinea",2020,60.4,9.4,37.26,NA,NA,3.36,0,1.28,27.586208,2163.8704,NA,NA,NA,-3.5,2757.21753,20,462840,-6.314993,143.95555
"106","Australia",2000,100,100,NA,NA,8.42,181.05,0,17.11,8.634437,68632.96,6.16,339450,3.9888778,3.912427733,21697.70848,3,7741220,-25.274398,133.775136
"107","Australia",2001,100,100,NA,NA,8.37,194.33,0,17.4,8.218014,68338.28,5.91,345640,3.870762,2.038300732,19527.32358,3,7741220,-25.274398,133.775136
"108","Australia",2002,100,100,NA,NA,8.74,197.29,0,17.35,8.0833025,68892.78,5.89,353369.9951,3.9314504,4.014526654,20117.78889,3,7741220,-25.274398,133.775136
"109","Australia",2003,100,100,NA,NA,7.15,195.13,0,18.5,8.659832,69082.79,5.78,352579.9866,4.014969,3.110325109,23492.40517,3,7741220,-25.274398,133.775136
"110","Australia",2004,100,100,NA,NA,6.68,203.66,0,19.41,8.701304,70486.32,5.65,365809.9976,4.0365605,4.205446887,30513.94174,3,7741220,-25.274398,133.775136
"111","Australia",2005,100,100,NA,NA,6.71,195.95,0,19.75,9.156236,69917.164,5.52,370089.9963,4.3135533,3.160338325,34080.9999,3,7741220,-25.274398,133.775136
"112","Australia",2006,100,100,NA,NA,6.85,198.72,0,21.19,9.63576,71863.76,5.58,375489.9902,4.233413,2.726893446,36117.48798,3,7741220,-25.274398,133.775136
"113","Australia",2007,100,100,NA,NA,6.95,208.59,0,20.93,9.119031,72304.695,5.52,385750,3.9767227,3.768487516,41001.14298,3,7741220,-25.274398,133.775136
"114","Australia",2008,100,100,NA,NA,6.79,211.06,0,18.49,8.05489,72089.34,5.53,388940.0024,3.6813264,3.577014878,49654.9106,3,7741220,-25.274398,133.775136
"115","Australia",2009,100,100,NA,NA,7.15,216.42,0,18.32,7.804379,69689.84,5.43,395290.0085,3.9202662,1.86683207,42783.32257,3,7741220,-25.274398,133.775136
"116","Australia",2010,100,100,NA,NA,8.16,212.5,0,21.13,9.044215,68523.875,5.33,387540.0085,4.3128047,2.172337091,52087.97229,3,7741220,-25.274398,133.775136
"117","Australia",2011,100,100,NA,NA,8.32,213.56,0,27.33,11.3454275,69714.19,5.23,386380.0049,5.698981,2.469746294,62574.1457,3,7741220,-25.274398,133.775136
"118","Australia",2012,100,100,NA,NA,8.29,206.75,0,26.63,11.410575,67583.03,4.98,386970.0012,5.700209,3.917362463,68027.84171,3,7741220,-25.274398,133.775136
"119","Australia",2013,100,100,NA,NA,9.21,195.78,0,34.2,14.870858,67307.04,4.93,380279.9988,6.525869,2.600211881,68156.62792,3,7741220,-25.274398,133.775136
"120","Australia",2014,100,100,NA,NA,9.32,205.46,0,36.15,14.96213,66744.195,4.78,371630.0049,5.979823,2.562931521,62511.69059,3,7741220,-25.274398,133.775136
"121","Australia",2015,100,100,NA,NA,9.31,197.72,0,33.12,14.3476,67234.93,4.67,377799.9878,6.290021,2.172204753,56707.02208,3,7741220,-25.274398,133.775136
"122","Australia",2016,100,100,NA,NA,9.42,207.66,0,38.41,15.609379,66407.09,4.54,384989.9902,7.1891756,2.741643069,49881.76371,3,7741220,-25.274398,133.775136
"123","Australia",2017,100,100,NA,NA,9.69,209.14,0,40.77,16.313873,65146.316,4.49,389160.0037,6.750127,2.295926947,53934.25018,3,7741220,-25.274398,133.775136
"124","Australia",2018,100,100,NA,NA,9.67,207.45,0,42.93,17.145937,65072.668,4.39,387070.0073,8.300061,2.87097248,57180.7794,3,7741220,-25.274398,133.775136
"125","Australia",2019,100,100,NA,NA,10.13,196.45,0,53.41,21.37597,66263.54,4.3,386529.9988,8.880722,2.113149425,54875.28596,3,7741220,-25.274398,133.775136
"126","Australia",2020,100,100,NA,NA,NA,186.92,0,63.99,25.503168,61826.21,NA,NA,10.789811,-0.003836559,51692.84275,3,7741220,-25.274398,133.775136
"2122","Samoa",2000,87.85783,18.6,86.04,NA,59.69,0.05,0,0.05,50,5050.979,5.31,150,NA,6.918794454,1542.066736,70,2831,-13.759029,-172.104629
"2123","Samoa",2001,88.58465,19.4,85.58,NA,52.41,0.05,0,0.06,54.545456,5352.6963,4.67,160,NA,6.939761793,1556.999425,70,2831,-13.759029,-172.104629
"2124","Samoa",2002,89.30388,19.9,85.09,NA,49.58,0.05,0,0.07,58.333336,5618.493,4.48,170.0000018,NA,4.343996108,1633.007661,70,2831,-13.759029,-172.104629
"2125","Samoa",2003,90.01788,20.8,84.57,NA,52.41,0.05,0,0.06,54.545456,5643.448,4.48,170.0000018,NA,4.515482455,1909.154441,70,2831,-13.759029,-172.104629
"2126","Samoa",2004,90.729,21.5,84.04,NA,48.82,0.05,0,0.06,54.545456,5624.824,4.19,189.9999976,NA,4.625000762,2353.455973,70,2831,-13.759029,-172.104629
"2127","Samoa",2005,91.43957,22.3,83.6,NA,48.89,0.05,0,0.06,54.545456,5678.59,4.12,209.9999934,NA,4.156489543,2590.489858,70,2831,-13.759029,-172.104629
"2128","Samoa",2006,96.37173,23.2,69.24,NA,45.96,0.06,0,0.05,45.454544,5844.4766,3.8,200.000003,NA,1.968808341,2796.601169,70,2831,-13.759029,-172.104629
"2129","Samoa",2007,92.86899,24,68.8,NA,43.18,0.06,0,0.05,45.454544,6201.1836,3.6,200.000003,NA,6.322644804,3133.671327,70,2831,-13.759029,-172.104629
"2130","Samoa",2008,98.1,25.1,68.34,NA,44.87,0.06,0,0.05,45.454544,6318.109,3.31,170.0000018,NA,1.009087755,3378.953029,70,2831,-13.759029,-172.104629
"2131","Samoa",2009,97.9,25.9,67.86,0,43.28,0.06,0,0.05,45.454544,6564.24,3.56,180.0000072,NA,-4.808273849,3168.228207,70,2831,-13.759029,-172.104629
"2132","Samoa",2010,96.36105,26.8,67.35,2e+05,41.28,0.06,0,0.05,45.454544,6500.349,3.75,189.9999976,NA,0.467245822,3566.42836,70,2831,-13.759029,-172.104629
"2133","Samoa",2011,96.66857,27.8,66.81,NA,40.26,0.07,0,0.05,41.666668,6521.698,3.59,200.000003,NA,4.103640825,3932.105847,70,2831,-13.759029,-172.104629
"2134","Samoa",2012,96.826935,28.6,46.98,NA,40.26,0.07,0,0.04,36.363636,6256.2554,3.86,200.000003,NA,-4.084494013,4020.959844,70,2831,-13.759029,-172.104629
"2135","Samoa",2013,97.416534,29.5,47.37,4700000,42.61,0.08,0,0.03,27.272728,6016.6445,3.94,200.000003,NA,-0.342327336,4037.813829,70,2831,-13.759029,-172.104629
"2136","Samoa",2014,97.9,30.4,65.1,32460000,41.24,0.09,0,0.03,25,6062.045,4.11,209.9999934,NA,0.052170614,3937.186246,70,2831,-13.759029,-172.104629
"2137","Samoa",2015,99.067085,31.4,73.4,10000,37.47,0.09,0,0.04,30.769232,6971.546,4.31,239.9999946,NA,4.296880765,4071.926959,70,2831,-13.759029,-172.104629
"2138","Samoa",2016,99.62329,32.4,85.61,0,36.82,0.09,0,0.05,35.714287,7356.9272,4.11,300.0000119,NA,8.126249353,4109.663228,70,2831,-13.759029,-172.104629
"2139","Samoa",2017,96.8,33.6,135.77,2050000,35.79,0.09,0,0.05,35.714287,7347.693,4.17,310.0000024,NA,1.042433719,4258.978767,70,2831,-13.759029,-172.104629
"2140","Samoa",2018,99.99448,34.6,136.05,NA,36.63,0.09,0,0.06,40,7217.7256,4.23,289.9999917,NA,-1.233162407,4187.504729,70,2831,-13.759029,-172.104629
"2141","Samoa",2019,99.2,35.3,142.74,NA,34.21,0.09,0,0.06,40,7697.959,4.44,300.0000119,NA,4.379825545,4322.868457,70,2831,-13.759029,-172.104629
"2142","Samoa",2020,100,36.5,141.8,NA,NA,0.1,0,0.06,37.5,7222.1904,NA,NA,NA,-2.5926083,4067.843459,70,2831,-13.759029,-172.104629
